status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
x >= 200 DM_salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3017,x <  100 DM,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,47,none,own,1,skilled employee/official,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= x <  500 DM,1  <= x < 4 years,3,male:single,none,3,if not A121:building society savings agreement/life insurance,27,none,own,2,unskilled-resident,1,"yes, registered under the customers name",yes,1
no checking account,36,existing credits paid back duly till now,business,5742,100 <= x <  500 DM,4  <= x < 7 years,2,male:single,none,2,car or other,31,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,60,existing credits paid back duly till now,car (new),10366,x <  100 DM,x >= 7 years,2,male:single,none,4,if not A121:building society savings agreement/life insurance,42,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= x < 1000 DM,1  <= x < 4 years,1,male:married/widowed,none,2,car or other,24,none,own,1,skilled employee/official,1,none,yes,1
no checking account,21,delay in paying off in the past,business,2580,500 <= x < 1000 DM, x < 1 year,4,male:single,none,2,real estate,41,bank,own,1,unskilled-resident,2,none,yes,2
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,4,car or other,26,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,5150,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,33,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,72,existing credits paid back duly till now,radio/television,5595,100 <= x <  500 DM,1  <= x < 4 years,2,male:married/widowed,none,2,car or other,24,none,own,1,skilled employee/official,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,radio/television,2384,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,64,bank,rent,1,unskilled-resident,1,none,yes,1
no checking account,18,existing credits paid back duly till now,radio/television,1453,x <  100 DM, x < 1 year,3,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee/official,1,none,yes,1
no checking account,6,existing credits paid back duly till now,education,1538,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,2,unknown/no property,56,none,own,1,skilled employee/official,1,none,yes,1
no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,1  <= x < 4 years,4,male:single,none,4,unknown/no property,37,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,15,delay in paying off in the past,radio/television,1478,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,none,3,real estate,33,bank,own,2,skilled employee/official,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5103,x <  100 DM, x < 1 year,3,male:married/widowed,none,3,unknown/no property,47,none,for free,3,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,36,delay in paying off in the past,business,9857,100 <= x <  500 DM,4  <= x < 7 years,1,male:single,none,3,if not A121:building society savings agreement/life insurance,31,none,own,2,unskilled-resident,2,"yes, registered under the customers name",yes,1
no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/ no savings account,1  <= x < 4 years,4,male:single,none,4,unknown/no property,34,none,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),radio/television,1347,unknown/ no savings account,4  <= x < 7 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,36,delay in paying off in the past,car (new),2862,100 <= x <  500 DM,x >= 7 years,4,male:single,none,3,unknown/no property,30,none,for free,1,skilled employee/official,1,none,yes,1
no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= x <  500 DM,x >= 7 years,3,male:single,co-applicant,4,car or other,35,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,existing credits paid back duly till now,car (new),3651,x >= 1000 DM,1  <= x < 4 years,1,male:single,none,3,if not A121:building society savings agreement/life insurance,31,none,own,1,skilled employee/official,2,none,yes,1
x < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,975,x <  100 DM,1  <= x < 4 years,2,male:divorced/separated,none,3,if not A121:building society savings agreement/life insurance,25,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= x <  500 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,2,real estate,25,none,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,24,existing credits paid back duly till now,radio/television,2896,100 <= x <  500 DM, x < 1 year,2,male:single,none,1,car or other,29,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account, x < 1 year,1,male:single,none,3,real estate,44,none,own,2,unskilled-resident,2,none,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,2284,x <  100 DM,4  <= x < 7 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= x < 1000 DM,1  <= x < 4 years,2,male:single,none,4,if not A121:building society savings agreement/life insurance,50,none,rent,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,1103,x <  100 DM,4  <= x < 7 years,4,male:single,guarantor,3,real estate,29,none,own,2,skilled employee/official,1,none,no,1
no checking account,12,critical account/ other credits existing (not at this bank),car (new),926,x <  100 DM,unemployed,1,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,38,none,own,1,unemployed/unskilled-non-resident,1,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,car or other,24,none,own,2,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,15,existing credits paid back duly till now,education,1905,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,40,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,500 <= x < 1000 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,4,car or other,29,none,rent,1,unskilled-resident,1,none,yes,2
x < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6331,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,46,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x >= 200 DM_salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1377,100 <= x <  500 DM,x >= 7 years,4,female:divorced/separated/married,none,2,unknown/no property,47,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,30,delay in paying off in the past,business,2503,100 <= x <  500 DM,x >= 7 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,41,stores,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,27,existing credits paid back duly till now,business,2528,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,32,none,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,15,existing credits paid back duly till now,car (new),5324,500 <= x < 1000 DM,x >= 7 years,1,female:divorced/separated/married,none,4,unknown/no property,35,none,for free,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,48,existing credits paid back duly till now,car (new),6560,100 <= x <  500 DM,4  <= x < 7 years,3,male:single,none,2,if not A121:building society savings agreement/life insurance,24,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,12,no credits taken/ all credits paid back duly,furniture/equipment,2969,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,3,if not A121:building society savings agreement/life insurance,25,none,rent,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,9,existing credits paid back duly till now,radio/television,1206,x <  100 DM,x >= 7 years,4,female:divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,radio/television,2118,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,37,none,own,1,unskilled-resident,2,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,629,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,32,bank,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,6,all credits at this bank paid back duly,education,1198,x <  100 DM,x >= 7 years,4,female:divorced/separated/married,none,4,unknown/no property,35,none,for free,1,skilled employee/official,1,none,yes,2
no checking account,21,existing credits paid back duly till now,car (used),2476,unknown/ no savings account,x >= 7 years,4,male:single,none,4,real estate,46,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,9,critical account/ other credits existing (not at this bank),radio/television,1138,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,real estate,25,none,own,2,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,60,existing credits paid back duly till now,car (new),14027,x <  100 DM,4  <= x < 7 years,4,male:single,none,2,unknown/no property,27,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,30,critical account/ other credits existing (not at this bank),car (used),7596,unknown/ no savings account,x >= 7 years,1,male:single,none,4,car or other,63,none,own,2,skilled employee/official,1,none,yes,1
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,3077,unknown/ no savings account,x >= 7 years,3,male:single,none,2,car or other,40,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,18,existing credits paid back duly till now,radio/television,1505,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,unknown/no property,32,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),radio/television,3148,unknown/ no savings account,1  <= x < 4 years,3,male:single,none,2,car or other,31,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
